chromosome	comparison	condition_id	020_matched	candidate_matched	delta_matched	020_cross	candidate_cross	delta_cross	020_contrast	candidate_contrast	delta_contrast	020_matched_ref1	candidate_matched_ref1	delta_matched_ref1	020_matched_ref2	candidate_matched_ref2	delta_matched_ref2	020_margin_mat	candidate_margin_mat	delta_margin_mat	020_margin_pat	candidate_margin_pat	delta_margin_pat	020_minmargin	candidate_minmargin	delta_minmargin	wins_matched	wins_contrast
chr1	C0-bundle1-minus-020	C0-bundle1	0.6699297451018598	0.5719791227213629	-0.0979506223804969	0.5336508647220221	0.5199398042860395	-0.01371106043598258	0.1362788803798377	0.05203931843532339	-0.08423956194451432	0.5601095185310724	0.5256013318373248	-0.034508186693747556	0.7797499716726471	0.618356913605401	-0.16139305806724613	-0.01776755115522155	-0.06998603037379914	-0.052218479218577585	0.2903253119148969	0.17406466724444608	-0.11626064467045083	-0.01776755115522155	-0.06998603037379914	-0.052218479218577585	0	0
chr1	C0-bundle2-minus-020	C0-bundle2	0.6699297451018598	0.5038604956960662	-0.1660692494057936	0.5336508647220221	0.4564611073653677	-0.07718975735665434	0.1362788803798377	0.047399388330698455	-0.08887949204913925	0.5601095185310724	0.39259394879810483	-0.16751556973296755	0.7797499716726471	0.6151270425940274	-0.16462292907861975	-0.01776755115522155	-0.03762508599169079	-0.019857534836469237	0.2903253119148969	0.13242386265308753	-0.15790144926180938	-0.01776755115522155	-0.03762508599169079	-0.019857534836469237	0	0
chr1	C0-bundle3-minus-020	C0-bundle3	0.6699297451018598	0.5810853145777009	-0.08884443052415891	0.5336508647220221	0.5232977633061731	-0.010353101415848998	0.1362788803798377	0.05778755127152779	-0.07849132910830992	0.5601095185310724	0.5279165533383924	-0.03219296519268	0.7797499716726471	0.6342540758170094	-0.1454958958556377	-0.01776755115522155	0.010587573781402293	0.028355124936623843	0.2903253119148969	0.10498752876165329	-0.18533778315324362	-0.01776755115522155	0.010587573781402293	0.028355124936623843	0	0
chr2	C0-bundle1-minus-020	C0-bundle1	0.5345811364123243	0.5420285065283517	0.007447370116027363	0.469000274542728	0.48046076491728185	0.011460490374553822	0.06558086186959627	0.061567741611069815	-0.004013120258526459	0.5256132454759175	0.4653724734885863	-0.06024077198733119	0.543549027348731	0.618684539568117	0.07513551221938597	0.043589715129584206	-0.028398418840979878	-0.07198813397056408	0.08757200860960823	0.1515339020631195	0.06396189345351128	0.043589715129584206	-0.028398418840979878	-0.07198813397056408	1	0
chr2	C0-bundle2-minus-020	C0-bundle2	0.5345811364123243	0.5749323339756494	0.04035119756332506	0.469000274542728	0.37840869965522905	-0.09059157488749897	0.06558086186959627	0.1965236343204203	0.13094277245082403	0.5256132454759175	0.4556156079605909	-0.06999763751532656	0.543549027348731	0.6942490599907079	0.15070003264197684	0.043589715129584206	0.12106217588249901	0.0774724607529148	0.08757200860960823	0.2719850927583416	0.18441308414873336	0.043589715129584206	0.12106217588249901	0.0774724607529148	1	1
chr2	C0-bundle3-minus-020	C0-bundle3	0.5345811364123243	0.5610334368867453	0.026452300474421042	0.469000274542728	0.42628410555788643	-0.042716168984841596	0.06558086186959627	0.1347493313288589	0.06916846945926264	0.5256132454759175	0.5905948770912848	0.0649816316153673	0.543549027348731	0.5314719966822058	-0.012077030666525213	0.043589715129584206	0.13073836715064702	0.08714865202106281	0.08757200860960823	0.13876029550707064	0.05118828689746241	0.043589715129584206	0.13073836715064702	0.08714865202106281	1	1
chr3	C0-bundle1-minus-020	C0-bundle1	0.581479744296115	0.5057783456278079	-0.07570139866830716	0.2735445262685263	0.30947982592455536	0.03593529965602904	0.3079352180275887	0.19629851970325252	-0.1116366983243362	0.43766698518364694	0.4835608527821458	0.04589386759849884	0.7252925034085832	0.52799583847347	-0.19729666493511322	0.21659829672144748	0.15376321165279927	-0.06283508506864821	0.39927213933373	0.23883382775370576	-0.16043831158002425	0.21659829672144748	0.15376321165279927	-0.06283508506864821	0	0
chr3	C0-bundle2-minus-020	C0-bundle2	0.581479744296115	0.4158211499888632	-0.16565859430725183	0.2735445262685263	0.3069849745012889	0.0334404482327626	0.3079352180275887	0.1088361754875743	-0.19909904254001443	0.43766698518364694	0.45208972693673544	0.014422741753088497	0.7252925034085832	0.37955257304099094	-0.34573993036759226	0.21659829672144748	0.08410640316270279	-0.1324918935587447	0.39927213933373	0.1335659478124458	-0.2657061915212842	0.21659829672144748	0.08410640316270279	-0.1324918935587447	0	0
chr3	C0-bundle3-minus-020	C0-bundle3	0.581479744296115	0.5374360958441662	-0.04404364845194886	0.2735445262685263	0.3074540177146012	0.03390949144607486	0.3079352180275887	0.229982078129565	-0.07795313989802372	0.43766698518364694	0.45176767703896703	0.014100691855320091	0.7252925034085832	0.6231045146493653	-0.10218798875921786	0.21659829672144748	0.08329675003815529	-0.1333015466832922	0.39927213933373	0.3766674062209747	-0.022604733112755293	0.21659829672144748	0.08329675003815529	-0.1333015466832922	0	0
chr4	C0-bundle1-minus-020	C0-bundle1	0.448272792352858	0.5829601724346605	0.13468738008180248	0.41667351352207077	0.5157918561685301	0.0991183426464593	0.031599278830787225	0.0671683162661304	0.035569037435343176	0.49845340903982993	0.5374011237922838	0.038947714752453844	0.3980921756658861	0.6285192210770371	0.23042704541115094	0.069030225795909	0.13527879305565155	0.06624856725974254	-0.0058316681343345	-0.0009421605233909114	0.004889507610943589	-0.0058316681343345	-0.0009421605233909114	0.004889507610943589	1	1
